Unnamed: 0,Sobreviventes,Status socioeconômico,Gênero das pessoas,Idade das pessoas,Relação familiar de irmãos e cônjuge,Relação familiar de pais e filhos,Tarifa do passageiro,Porto de embarcação,Número da classe social,"Homem, Mulher ou Criança",Homem adulto,Convés,Cidade de embarcação,Pessoas vivas,Pessoas sozinhas
218,vivo,1,Feminino,32.0,0,0,76.2917,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Sim
219,morto,2,Masculino,30.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
220,vivo,3,Masculino,16.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
221,morto,2,Masculino,27.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
222,morto,3,Masculino,51.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
223,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
224,vivo,1,Masculino,38.0,1,0,90.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
225,morto,3,Masculino,22.0,0,0,9.35,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
226,vivo,2,Masculino,19.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Sim,Sim
227,morto,3,Masculino,20.5,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
228,morto,2,Masculino,18.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
229,morto,3,Feminino,,3,1,25.4667,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
230,vivo,1,Feminino,35.0,1,0,83.475,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
231,morto,3,Masculino,29.0,0,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
232,morto,2,Masculino,59.0,0,0,13.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
233,vivo,3,Feminino,5.0,4,2,31.3875,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
234,morto,2,Masculino,24.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
235,morto,3,Feminino,,0,0,7.55,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
236,morto,2,Masculino,44.0,1,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
237,vivo,2,Feminino,8.0,0,2,26.25,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
238,morto,2,Masculino,19.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
239,morto,2,Masculino,33.0,0,0,12.275,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
240,morto,3,Feminino,,1,0,14.4542,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Não,Não
241,vivo,3,Feminino,,1,0,15.5,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Não
242,morto,2,Masculino,29.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
243,morto,3,Masculino,22.0,0,0,7.125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
244,morto,3,Masculino,30.0,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
245,morto,1,Masculino,44.0,2,0,90.0,Queenstown,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Queenstown,Não,Não
246,morto,3,Feminino,25.0,0,0,7.775,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
247,vivo,2,Feminino,24.0,0,2,14.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
248,vivo,1,Masculino,37.0,1,1,52.5542,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Não
249,morto,2,Masculino,54.0,1,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
250,morto,3,Masculino,,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
251,morto,3,Feminino,29.0,1,1,10.4625,Southampton,Terceira Classe,Mulher,Não,Convés Terceira Classe e áreas de serviço para tripulação,Southampton,Não,Não
252,morto,1,Masculino,62.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
253,morto,3,Masculino,30.0,1,0,16.1,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
254,morto,3,Feminino,41.0,0,2,20.2125,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
255,vivo,3,Feminino,29.0,0,2,15.2458,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Sim,Não
256,vivo,1,Feminino,,0,0,79.2,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Sim
257,vivo,1,Feminino,30.0,0,0,86.5,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Sim
258,vivo,1,Feminino,35.0,0,0,512.3292,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Sim
259,vivo,2,Feminino,50.0,0,1,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
260,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
261,vivo,3,Masculino,3.0,4,2,31.3875,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
262,morto,1,Masculino,52.0,1,1,79.65,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Não
263,morto,1,Masculino,40.0,0,0,0.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Southampton,Não,Sim
264,morto,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Não,Sim
265,morto,2,Masculino,36.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
266,morto,3,Masculino,16.0,4,1,39.6875,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
267,vivo,3,Masculino,25.0,1,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Não
268,vivo,1,Feminino,58.0,0,1,153.4625,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
269,vivo,1,Feminino,35.0,0,0,135.6333,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
270,morto,1,Masculino,,0,0,31.0,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
271,vivo,3,Masculino,25.0,0,0,0.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
272,vivo,2,Feminino,41.0,0,1,19.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
273,morto,1,Masculino,37.0,0,1,29.7,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Não
274,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
275,vivo,1,Feminino,63.0,1,0,77.9583,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Não
276,morto,3,Feminino,45.0,0,0,7.75,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
277,morto,2,Masculino,,0,0,0.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
278,morto,3,Masculino,7.0,4,1,29.125,Queenstown,Terceira Classe,Criança,Não,,Queenstown,Não,Não
279,vivo,3,Feminino,35.0,1,1,20.25,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
280,morto,3,Masculino,65.0,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
281,morto,3,Masculino,28.0,0,0,7.8542,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
282,morto,3,Masculino,16.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
283,vivo,3,Masculino,19.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
284,morto,1,Masculino,,0,0,26.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe com botes salva vidas,Southampton,Não,Sim
285,morto,3,Masculino,33.0,0,0,8.6625,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
286,vivo,3,Masculino,30.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
287,morto,3,Masculino,22.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
288,vivo,2,Masculino,42.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Sim,Sim
289,vivo,3,Feminino,22.0,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
290,vivo,1,Feminino,26.0,0,0,78.85,Southampton,Primeira Classe,Mulher,Não,,Southampton,Sim,Sim
291,vivo,1,Feminino,19.0,1,0,91.0792,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
292,morto,2,Masculino,36.0,0,0,12.875,Cherbourg,Segunda Classe,Homem,Sim,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Não,Sim
293,morto,3,Feminino,24.0,0,0,8.85,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
294,morto,3,Masculino,24.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
295,morto,1,Masculino,,0,0,27.7208,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
296,morto,3,Masculino,23.5,0,0,7.2292,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
297,morto,1,Feminino,2.0,1,2,151.55,Southampton,Primeira Classe,Criança,Não,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
298,vivo,1,Masculino,,0,0,30.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
299,vivo,1,Feminino,50.0,0,1,247.5208,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
300,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
301,vivo,3,Masculino,,2,0,23.25,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Sim,Não
302,morto,3,Masculino,19.0,0,0,0.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
303,vivo,2,Feminino,,0,0,12.35,Queenstown,Segunda Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Queenstown,Sim,Sim
304,morto,3,Masculino,,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
305,vivo,1,Masculino,0.92,1,2,151.55,Southampton,Primeira Classe,Criança,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
306,vivo,1,Feminino,,0,0,110.8833,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Sim
307,vivo,1,Feminino,17.0,1,0,108.9,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Não
308,morto,2,Masculino,30.0,1,0,24.0,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Não,Não
309,vivo,1,Feminino,30.0,0,0,56.9292,Cherbourg,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Cherbourg,Sim,Sim
310,vivo,1,Feminino,24.0,0,0,83.1583,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Sim
311,vivo,1,Feminino,18.0,2,2,262.375,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
312,morto,2,Feminino,26.0,1,1,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Não,Não
313,morto,3,Masculino,28.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
314,morto,2,Masculino,43.0,1,1,26.25,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
315,vivo,3,Feminino,26.0,0,0,7.8542,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
316,vivo,2,Feminino,24.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
317,morto,2,Masculino,54.0,0,0,14.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
318,vivo,1,Feminino,31.0,0,2,164.8667,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
319,vivo,1,Feminino,40.0,1,1,134.5,Cherbourg,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Cherbourg,Sim,Não
320,morto,3,Masculino,22.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
321,morto,3,Masculino,27.0,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
322,vivo,2,Feminino,30.0,0,0,12.35,Queenstown,Segunda Classe,Mulher,Não,,Queenstown,Sim,Sim
323,vivo,2,Feminino,22.0,1,1,29.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
324,morto,3,Masculino,,8,2,69.55,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
325,vivo,1,Feminino,36.0,0,0,135.6333,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Cherbourg,Sim,Sim
326,morto,3,Masculino,61.0,0,0,6.2375,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
327,vivo,2,Feminino,36.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Southampton,Sim,Sim
328,vivo,3,Feminino,31.0,1,1,20.525,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
329,vivo,1,Feminino,16.0,0,1,57.9792,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Não
330,vivo,3,Feminino,,2,0,23.25,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Não
331,morto,1,Masculino,45.5,0,0,28.5,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
332,morto,1,Masculino,38.0,0,1,153.4625,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
333,morto,3,Masculino,16.0,2,0,18.0,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
334,vivo,1,Feminino,,1,0,133.65,Southampton,Primeira Classe,Mulher,Não,,Southampton,Sim,Não
335,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
336,morto,1,Masculino,29.0,1,0,66.6,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Não
337,vivo,1,Feminino,41.0,0,0,134.5,Cherbourg,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Cherbourg,Sim,Sim
338,vivo,3,Masculino,45.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
339,morto,1,Masculino,45.0,0,0,35.5,Southampton,Primeira Classe,Homem,Sim,,Southampton,Não,Sim
340,vivo,2,Masculino,2.0,1,1,26.0,Southampton,Segunda Classe,Criança,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Não
341,vivo,1,Feminino,24.0,3,2,263.0,Southampton,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Não
342,morto,2,Masculino,28.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
343,morto,2,Masculino,25.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
344,morto,2,Masculino,36.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
345,vivo,2,Feminino,24.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,Convés Segunda Classe e parte da Terceira Classe,Southampton,Sim,Sim
346,vivo,2,Feminino,40.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
347,vivo,3,Feminino,,1,0,16.1,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
348,vivo,3,Masculino,3.0,1,1,15.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Sim,Não
349,morto,3,Masculino,42.0,0,0,8.6625,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
350,morto,3,Masculino,23.0,0,0,9.225,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
351,morto,1,Masculino,,0,0,35.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Não,Sim
352,morto,3,Masculino,15.0,1,1,7.2292,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Não,Não
353,morto,3,Masculino,25.0,1,0,17.8,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
354,morto,3,Masculino,,0,0,7.225,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
355,morto,3,Masculino,28.0,0,0,9.5,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
356,vivo,1,Feminino,22.0,0,1,55.0,Southampton,Primeira Classe,Mulher,Não,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Não
357,morto,2,Feminino,38.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Não,Sim
358,vivo,3,Feminino,,0,0,7.8792,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
359,vivo,3,Feminino,,0,0,7.8792,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
360,morto,3,Masculino,40.0,1,4,27.9,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
361,morto,2,Masculino,29.0,1,0,27.7208,Cherbourg,Segunda Classe,Homem,Sim,,Cherbourg,Não,Não
362,morto,3,Feminino,45.0,0,1,14.4542,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Não,Não
363,morto,3,Masculino,35.0,0,0,7.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
364,morto,3,Masculino,,1,0,15.5,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Não
365,morto,3,Masculino,30.0,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
366,vivo,1,Feminino,60.0,1,0,75.25,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
367,vivo,3,Feminino,,0,0,7.2292,Cherbourg,Terceira Classe,Mulher,Não,,Cherbourg,Sim,Sim
368,vivo,3,Feminino,,0,0,7.75,Queenstown,Terceira Classe,Mulher,Não,,Queenstown,Sim,Sim
369,vivo,1,Feminino,24.0,0,0,69.3,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de serviço,Cherbourg,Sim,Sim
370,vivo,1,Masculino,25.0,1,0,55.4417,Cherbourg,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Cherbourg,Sim,Não
371,morto,3,Masculino,18.0,1,0,6.4958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
372,morto,3,Masculino,19.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
373,morto,1,Masculino,22.0,0,0,135.6333,Cherbourg,Primeira Classe,Homem,Sim,,Cherbourg,Não,Sim
374,morto,3,Feminino,3.0,3,1,21.075,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
375,vivo,1,Feminino,,1,0,82.1708,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Não
376,vivo,3,Feminino,22.0,0,0,7.25,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Sim
377,morto,1,Masculino,27.0,0,2,211.5,Cherbourg,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Cherbourg,Não,Não
378,morto,3,Masculino,20.0,0,0,4.0125,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
379,morto,3,Masculino,19.0,0,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
380,vivo,1,Feminino,42.0,0,0,227.525,Cherbourg,Primeira Classe,Mulher,Não,,Cherbourg,Sim,Sim
381,vivo,3,Feminino,1.0,0,2,15.7417,Cherbourg,Terceira Classe,Criança,Não,,Cherbourg,Sim,Não
382,morto,3,Masculino,32.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
383,vivo,1,Feminino,35.0,1,0,52.0,Southampton,Primeira Classe,Mulher,Não,,Southampton,Sim,Não
384,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
385,morto,2,Masculino,18.0,0,0,73.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
386,morto,3,Masculino,1.0,5,2,46.9,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
387,vivo,2,Feminino,36.0,0,0,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
388,morto,3,Masculino,,0,0,7.7292,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
389,vivo,2,Feminino,17.0,0,0,12.0,Cherbourg,Segunda Classe,Mulher,Não,,Cherbourg,Sim,Sim
390,vivo,1,Masculino,36.0,1,2,120.0,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de serviço,Southampton,Sim,Não
391,vivo,3,Masculino,21.0,0,0,7.7958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
392,morto,3,Masculino,28.0,2,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
393,vivo,1,Feminino,23.0,1,0,113.275,Cherbourg,Primeira Classe,Mulher,Não,Convés Primeira Classe e Restaurante de Primeira Classe,Cherbourg,Sim,Não
394,vivo,3,Feminino,24.0,0,2,16.7,Southampton,Terceira Classe,Mulher,Não,Convés Terceira Classe e áreas de serviço para tripulação,Southampton,Sim,Não
395,morto,3,Masculino,22.0,0,0,7.7958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
396,morto,3,Feminino,31.0,0,0,7.8542,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
397,morto,2,Masculino,46.0,0,0,26.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
398,morto,2,Masculino,23.0,0,0,10.5,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
399,vivo,2,Feminino,28.0,0,0,12.65,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
400,vivo,3,Masculino,39.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
401,morto,3,Masculino,26.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
402,morto,3,Feminino,21.0,1,0,9.825,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
403,morto,3,Masculino,28.0,1,0,15.85,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
404,morto,3,Feminino,20.0,0,0,8.6625,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
405,morto,2,Masculino,34.0,1,0,21.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Não
406,morto,3,Masculino,51.0,0,0,7.75,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
407,vivo,2,Masculino,3.0,1,1,18.75,Southampton,Segunda Classe,Criança,Não,,Southampton,Sim,Não
408,morto,3,Masculino,21.0,0,0,7.775,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
409,morto,3,Feminino,,3,1,25.4667,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
410,morto,3,Masculino,,0,0,7.8958,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
411,morto,3,Masculino,,0,0,6.8583,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
412,vivo,1,Feminino,33.0,1,0,90.0,Queenstown,Primeira Classe,Mulher,Não,Convés Primeira Classe e áreas de refeição,Queenstown,Sim,Não
413,morto,2,Masculino,,0,0,0.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
414,vivo,3,Masculino,44.0,0,0,7.925,Southampton,Terceira Classe,Homem,Sim,,Southampton,Sim,Sim
415,morto,3,Feminino,,0,0,8.05,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Sim
416,vivo,2,Feminino,34.0,1,1,32.5,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
417,vivo,2,Feminino,18.0,0,2,13.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
418,morto,2,Masculino,30.0,0,0,13.0,Southampton,Segunda Classe,Homem,Sim,,Southampton,Não,Sim
419,morto,3,Feminino,10.0,0,2,24.15,Southampton,Terceira Classe,Criança,Não,,Southampton,Não,Não
420,morto,3,Masculino,,0,0,7.8958,Cherbourg,Terceira Classe,Homem,Sim,,Cherbourg,Não,Sim
421,morto,3,Masculino,21.0,0,0,7.7333,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
422,morto,3,Masculino,29.0,0,0,7.875,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
423,morto,3,Feminino,28.0,1,1,14.4,Southampton,Terceira Classe,Mulher,Não,,Southampton,Não,Não
424,morto,3,Masculino,18.0,1,1,20.2125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Não
425,morto,3,Masculino,,0,0,7.25,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
426,vivo,2,Feminino,28.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
427,vivo,2,Feminino,19.0,0,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Sim
428,morto,3,Masculino,,0,0,7.75,Queenstown,Terceira Classe,Homem,Sim,,Queenstown,Não,Sim
429,vivo,3,Masculino,32.0,0,0,8.05,Southampton,Terceira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Sim,Sim
430,vivo,1,Masculino,28.0,0,0,26.55,Southampton,Primeira Classe,Homem,Sim,Convés Primeira Classe e áreas de refeição,Southampton,Sim,Sim
431,vivo,3,Feminino,,1,0,16.1,Southampton,Terceira Classe,Mulher,Não,,Southampton,Sim,Não
432,vivo,2,Feminino,42.0,1,0,26.0,Southampton,Segunda Classe,Mulher,Não,,Southampton,Sim,Não
433,morto,3,Masculino,17.0,0,0,7.125,Southampton,Terceira Classe,Homem,Sim,,Southampton,Não,Sim
434,morto,1,Masculino,50.0,1,0,55.9,Southampton,Primeira Classe,Homem,Sim,Convés Segunda Classe e áreas de serviço,Southampton,Não,Não
